tokens,pos_tags
﻿सन्यास,NN
के,PSP
नेवता,NN
।,SYM
नेवता,NN
देखते,VM
मन,NN
चटक,VM
गइल,VAUX
।,SYM
आहि,INJ
दादा,NN
हे,DEM
भदवारी,NN
में,PSP
ई,DEM
बिआह,NN
के,PSP
नेवता,NN
कहां,WQ
से,PSP
।,SYM
गिरधारी,NNP
भगत,NNP
नेवता,NN
जल्दी,RB
छूअस,VM
ना,NEG
दोसरे,PRP
से,PSP
पढ़वा,VM
लेस,VAUX
।,SYM
अपने,PRP
छूइहें,VM
त,CC
ओकरा,PRP
पहिले,NST
हाथगोड़,NN
धो,VM
के,VAUX
मुंह,NN
में,PSP
कुछ,PRP
डलिहें,VM
मुंह,PSP
मीठ,JJ
करिहें,VM
तब,RB
भोले,NNP
बाबा,NN
के,PSP
नाम,NN
लेके,VM
नेवता,NN
के,PSP
लिफाफा,NN
खोलिहें,VM
।,SYM
अब,NST
त,RP
नेवता,NN
लेके,VM
आवे,VM
वाला,PSP
हजाम,NN
लोग,NN
दुलुम,VM
हो,VM
गइल,VAUX
।,SYM
समाचार,NN
रहे,VM
कि,CC
गजेन्दर,NNP
बाबू,NN
आपन,PRP
घर-दुआर,NN
त्याग,VM
के,VAUX
साधू,NN
बने,VM
जात,VM
बाड़े,VAUX
।,SYM
इलाका,NN
के,PSP
जानल,JJ
मानल,ECH
आदमी,NN
कवनो,PRP
काम,NN
करेला,VM
त,CC
पूरा,QF
पब्लिक,NN
के,PSP
खबर,NN
कर,VM
देला,VAUX
।,SYM
एह,PRP
से,PSP
हित-कुटुंब,NN
के,PSP
नेवता,NN
पेठवले,VM
की,CC
अगिला,NST
दस,QC
तारीख,NN
के,PSP
सभे,PRP
भोज,NN
में,PSP
सामिल,VM
होखो,VAUX
।,SYM
एह,PRP
नाशवान,JJ
देह,NN
के,PSP
कवनो,PRP
ठीक,NN
नइखे,NEG
।,SYM
एह,PRP
छहंतरी,JJ
दुनिया,NN
के,PSP
देखही,VM
में,PSP
उमिर,NN
तिरपन,QC
साल,NN
पर,PSP
जा,VAUX
चहुंपल,VM
।,SYM
सगरो,NST
से,PSP
नेहनाता,NN
तुड़,VM
के,VAUX
अब,NST
भगवान,NN
से,PSP
नेह,NN
लगवले,VM
में,PSP
भलाई,NN
बा,VM
।,SYM
ई,DEM
अनाज-पानी,NN
धन-दौलत,NN
आ,CC
बाल-बच्चा,NN
में,PSP
