tokens,pos_tags
﻿चहेंटना,VM
=,SYM
खेदकर,VM
दूर,NST
भगाना,VAUX
मारने,VM
को,PSP
दौड़ना,VM
साँप,NN
गनेस,NNP
के,PSP
चूहा,NN
पर,RB
झपटत,VM
कातिक,NNP
के,PSP
मोरे,NN
हमर,PRP
साँप,NN
के,PSP
चहेंटत,VM
।,SYM
अइसन,DEM
धमाचौकड़ी,NN
में,PSP
सब,QF
के,PSP
सम्हारे,VM
में,PSP
तोरा,PRP
नानी,NN
याद,NN
आ,VM
जत्थुन,VAUX
।,SYM
चाँय,NN
चोर,NN
के,PSP
जी,RP
चाँय,NN
नियन,NN
।,SYM
चिंता-फिकिर,NN
रात-दिन,NST
चिंता-फिकिर,NN
जोड़-घटाव,NN
।,SYM
न,NEG
घर,NN
ठीक,JJ
न,NEG
वर,NN
ठीक,JJ
।,SYM
खाली,JJ
तिलक,NN
!,SYM
तिलक,NN
!,SYM
तिलक,NN
!,SYM
तिलक,NN
ठीक,JJ
तो,CC
सब,INJ
ठीक,JJ
।,SYM
तिलक,NN
के,PSP
गुणा-भाग,NN
पर,PSP
ही,RP
बिआह,NN
के,PSP
गुणा-भाग,NN
हल,VM
।,SYM
आखिर,RB
तिलक,NN
के,PSP
गुणा-भाग,NN
एक,QC
जगह,NST
बइठ,VM
गेल,VAUX
हल,VAUX
।,SYM
चिख-चिख,RB
चलऽ,VAUX
बैठके,VM
फरिया,VAUX
ल,RP
सब्भे,QF
।,SYM
जादे,INTF
चिख-चिख,RB
भी,RP
ठीक,JJ
नञ्,NEG
हे,VM
।,SYM
चिड़ारी,NN
=,SYM
चिरारी,NN
;,SYM
चिता,NN
;,SYM
श्मशान,NN
मरघट,JJ
जन्नी-मरद,NN
तो,CC
जादे,INTF
बाहरे,NST
हला,VM
मुदा,NN
फलिस्ता,NN
आउ,CC
बूढ़ा-बूढ़ी,NN
काल,NN
के,PSP
गाल,NN
में,PSP
समा,VM
गेला,VAUX
।,SYM
चिड़ारी,NN
पर,PSP
मुरदा,NN
ला,PSP
जगह,NST
घट,VM
गेल,VAUX
।,SYM
चूड़ा-भुँजा,NN
सत्तू,NN
पिसइलो,VM
चाउर,NN
भून,VM
के,PSP
घी,NN
राबा,NN
मिलाके,VM
भुरकुंडा,NN
बनलो,VM
चूड़ा-भुँजा,NN
चाउर,NN
दाल,NN
घी,NN
तेल,NN
मिचाई,NN
सब,QF
हे,VM
।,SYM
हाड़ी-हड़ुला,NN
मिल,VM
जात,VAUX
त,CC
रसोई,NN
रंधा,VM
जात,VAUX
।,SYM
चूतड़-चलाँक,JJ
~,SYM
जात,NN
एक,QC
दफे,NN
नदी,NN
के,PSP
पानी,NN
ला,PSP
झगड़ा,VM
भेल,VAUX
।,SYM
नीचे,NST
के,PSP
बाभन,NN
सब,QF
नदी,NN
के,PSP
कच्चा,JJ
बाँध,NN
काटे,VM
ला,PSP
कटिबद्ध,VM
रहथन,VAUX
।,SYM
गोबार,JJ
भाई,NN
हजारन,QC
के,PSP
संख्या,NN
में,PSP
जुटलन,VM
।,SYM
बस,INTF
फूलल-अंकुड़ल,JJ
चना,NN
सब,QF
खाथन,VM
आउ,CC
डंड,NN
पेलथन,VM
।,SYM
काहे,WQ
ला,PSP
त,CC
बाभन,NN
सब,QF
अइता,VM
।,SYM
बाँध,NN
नहिये,NEG
कटल,VM
।,SYM
अइसे,RB
भी,RP
बाभन,NN
चूतड़-चलाँक,JJ
जात,NN
।,SYM
मरे-मारे,VM
से,PSP
जादे,QF
उनखा,PRP
लड़वावे-फँसावे,VAUX
में,PSP
महारत,NN
हासिल,VM
हे,VAUX
।
चेंगना-मेंगना,NN
राजगीर,NN
में,PSP
तीलसँकरात,NN
के,PSP
मेला,NN
हे,VM
।,SYM
सतधरवा,JJ
बर्हमकुंड,NN
में,PSP
नहा,VM
के,PSP
मामू-ममानी,NN
आउ,CC
मौसी,NN
चेंगना-मेंगना,NN
के,PSP
साथ,RB
आके,VM
बजंतरी,NN
के,PSP
पत्ता,NN
पर,PSP
ततले-ततले,JJ
मकर,NN
के,PSP
खिचड़ी,NN
के,PSP
भाप,NN
से,PSP
हाथ-मुँह,NN
जला,VM
रहला,VAUX
ह,VAUX
कि,CC
हड़हड़-धड़धड़,RB
होवे,VM
लगल,VAUX
।,SYM
चोखाना,NN
अभी,NST
ढंग,NN
चोखइवो,VM
नञ्,NEG
कइलऽ,VAUX
हे,VAUX
आउ,CC
भउजी-भउजी,NN
करके,VM
बुट्टा,NN
कसे,WQ
अइलऽ,VM
हे,VAUX
!,SYM
चोर-चमार,NN
एने-ओने,NST
मजूरवन,NN
के,PSP
छौंड़ा-छौंड़ी,NN
साथे,RB
खेले,VM
जाऊँ,VAUX
त,CC
दू,QC
दने,NST
से,PSP
धक्का,NN
लगे,VM
।,SYM
जा,VM
बबुआ,NN
एने,NST
न,NEG
आवऽ,VM
गढ़िया,NN
के,PSP
लड़का,NN
ह,VM
हमन्हीं,PRP
के,PSP
बुतरू-बानर,NN
बनच्चर,JJ
हो,VM
मइया,NN
भइया,NN
मारथुन,VM
।,SYM
चल,VM
जा,VAUX
बबुआ,NN
चल,VM
जा,VAUX
अप्पन,PRP
गढ़िया,NN
दने,NST
खेलिहऽ,VM
।,SYM
एने,NST
घुर,VM
के,PSP
अप्पन,PRP
खाँढ़,NN
पहुँचूँ,VM
त,CC
ममा,NN
फटकारे,VM
लगथुन,VAUX
-,SYM
कहाँ,WQ
गेलहीं,VM
हल,VAUX
रे,RP
?,SYM
ओने,NST
माल-मुसहर,NN
चोर-चमार,NN
दने,NST
खेले,VM
जा,VAUX
हँ,VAUX
।,SYM
ई,PRP
छौंड़ा,NN
बिगड़,VM
जइतइ,VAUX
।,SYM
चौथ,NN
=,SYM
चौठ,NN
चतुर्थी,QO
तिथि,NN
चौथ,QO
चतुरदस,NN
नोम्मी,JJ
रिक्ता,NN
जे,PRP
जइता,VM
से,PSP
अपने,PRP
सिखता,VM
।,SYM
छहंतर,JJ
