tokens,pos_tags
﻿हम,PRP
एखने,NST
शौचादि,NN
सँ,PSP
निवृत,NN
भऽ,VM
दँतमनि,NN
मुँह,NN
मे,PSP
नेने,VM
दलान,NN
पर,PSP
घुमि,VM
रहल,VAUX
छी,VAUX
।,SYM
मुदा,CC
आरजेडीक,NNP
ई,PRP
बाहुबली,JJ
सांसद,NN
जखन,NST
अपने,PRP
नहि,NEG
लड़ि,VM
पओला,VAUX
तऽ,CC
अपन,PRP
पत्नी,NN
हेना,NNP
शहाबकेँ,NNP
ठाढ़,VM
कऽ,VAUX
देलखिन्ह,VAUX
।,SYM
हिनका,PRP
जीताबय,VM
लेल,CC
पार्टी,NN
प्रमुख,JJ
लालू,NNP
यादवजी,NNP
एँड़ी,NN
चोटीक,NN
जोर,NN
लगा,VM
देलखिन्ह,VAUX
।,SYM
मुदा,CC
ओ,PRP
अपने,PRP
कहुना,WQ
कऽ,PSP
एक,QC
ठामसँ,NST
जीत,VM
पओलाह,VAUX
।,SYM
एहि,PRP
ठामसँ,NST
निर्दलीय,JJ
ओमप्रकाश,NNP
यादव,NNP
जीतयमे,VM
कामयाब,VM
रहलाह,VAUX
।,SYM
शहाबुद्दीनक,NNP
तिस्लिम,NNP
तार,RB
तार,RDP
भऽ,VM
गेल,VAUX
।,SYM
एहि,PRP
लेल,CC
अहाँ,PRP
कहि,VM
सकय,VAUX
छी,VAUX
जे,CC
एहि,PRP
बेर,NST
लोक,NN
साफ,RB
सुथरा,RB
काज,VM
करय,VAUX
बाला,NN
लोककेँ,NN
वोट,NN
देलखिन्ह,VM
।,SYM
ओ,PRP
साफ,RB
कऽ,VM
देलखिन्ह,VAUX
कि,CC
पब्लिक,NN
सभ,QF
जानैत,VM
अछि,VAUX
।,SYM
अहाँ,PRP
पब्लिककेँ,NN
बेसी,JJ
देर,NST
धरि,NST
आँखिमे,NN
धूरा,NN
नहि,NEG
झोंकि,VM
सकय,VAUX
छी,VAUX
।,SYM
तऽ,CC
जय,VM
हो,VAUX
मतदाता,NN
राजाकेँ,NN
।,SYM
असली,JJ
